INACAP;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asignaturas críticas (Req 719831 );;;;;;;;;;;;;;;;;;;;;;;;;;;
Asignaturas Críticas (Req 719831 );;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha de Consulta: 30-01-2026 15:20;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
PERIODO;ZONA;SEDE;CODIGO ASIGNATURA;ASIGNATURA;AREA;COD PE;PROGRAMA;COD MENCION;MENCION;PLAN;INSTITUCION;JORNADA;NIVEL;PREREQUISITO SEMESTRE SIGUIENTE;ULTIMO NIVEL;SECCIONES;ALUMNOS;PROMEDIO NOTA UNO;PROMEDIO NOTA DOS;PROMEDIO NOTA TRES;ALUMNOS EN RIESGO;PORCENTAJE REPROBACION N1;PORCENTAJE REPROBACION N2;PORCENTAJE REPROBACION N3;AYUDANTIA VIRTUAL;AYUDANTIA SEDE;ALUMNOS AYUDANTIA
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ATFN01;Finanzas;Mecánica;MI;Ingeniería en Mecánica y Electromovilidad Automotriz;MI1;Sin Mención;MI-MI1-1;I.P.;DIURNA;6;1;NO;1;22;3.4;5.5;3.9;5;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AUAU01;Taller Integrado de Auditoría;Administración;CA;Contador Auditor;CA1;Sin Mención;CA-CA1-1;U.T.C.;VESPERTINA;8;0;SI;1;1;7;7;7;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AVA401;Marketing;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-5;C.F.T.;VESPERTINA;2;0;NO;1;21;6.3;5.7;6.6;0;;15.4;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AVB401;Finanzas;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-5;C.F.T.;VESPERTINA;2;0;NO;1;25;3.9;5.5;6.2;1;;23.1;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AVC404;Contabilidad;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-5;C.F.T.;VESPERTINA;2;1;NO;2;42;5.6;3.8;5.8;10;;7.7;;0;SI;21
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AVD401;Software de Remuneraciones;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-5;C.F.T.;VESPERTINA;4;0;SI;2;39;5.8;6.3;6.5;11;;;;0;SI;19
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AVFI01;Finanzas;Administración;TAP;Técnico en Administración Pública;TAP;Sin Mención;TAP-TAP-2;C.F.T.;VESPERTINA;4;0;SI;1;22;5.3;6.3;7;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AVGP01;Gestión de Personas;Administración;TAP;Técnico en Administración Pública;TAP;Sin Mención;TAP-TAP-2;C.F.T.;VESPERTINA;2;0;NO;1;23;5.6;6.1;6;0;;20;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AVJ502;Legislación Laboral;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-5;C.F.T.;VESPERTINA;4;0;SI;1;20;5.7;6.1;6.6;1;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AVMO02;Ventas y Servicios;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-5;C.F.T.;VESPERTINA;2;0;NO;1;21;5.8;5.8;5.8;0;;15.4;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AVMO03;Legislación Tributaria;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-5;C.F.T.;VESPERTINA;2;0;NO;1;21;6;5.1;6.3;2;;19.2;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AVOO01;Proyecto Integrado;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-5;C.F.T.;VESPERTINA;4;0;SI;1;19;6.5;6.6;6.5;1;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CBIF01;Introducción a la Física;Construcción;TC;Técnico en Construcción;TCO;SIN MENCIÓN;TC-TCO-1;C.F.T.;VESPERTINA;4;0;SI;1;2;4.9;5.9;5.8;0;;;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CBPR01;Probabilidad;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;6;0;NO;1;6;6;6.3;6.7;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;CCCA04;Edificación en Altura;Construcción;CC;Construcción Civil;CC0;Sin mención;CC-CC0-5;I.P.;DIURNA;4;0;NO;1;21;6.2;6.5;6.5;0;;24.1;;0;NO;0
